"","country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","place_id","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"613572","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-22",-24,-6,-10,-21,-5,10
"613573","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-23",-16,-1,-3,-15,-8,8
"613574","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-24",-19,-1,-5,-18,-11,9
"613575","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-25",-19,-2,-6,-17,-12,9
"613576","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-26",-19,-2,-5,-18,-10,9
"613577","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-27",-19,-2,-9,-17,-7,9
"613578","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-28",-20,1,-4,-16,3,8
"613579","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-29",-20,-1,-2,-17,-5,9
"613580","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-30",-24,-6,-3,-23,-30,12
"613581","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-08-31",-18,-1,-5,-16,-11,8
"613582","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-01",-20,-5,-8,-18,-13,10
"613583","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-02",-17,0,-4,-16,-10,9
"613584","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-03",-17,0,-7,-17,-9,9
"613585","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-04",-17,3,-3,-15,1,8
"613586","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-05",-16,2,-2,-14,-3,9
"613587","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-06",-14,2,-1,-13,-7,8
"613588","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-07",-15,2,-3,-14,-12,9
"613589","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-08",-15,3,-3,-12,-12,8
"613590","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-09",-17,-1,-3,-14,-10,9
"613591","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-10",-16,2,-4,-13,-8,9
"613592","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-11",-13,8,3,-8,1,8
"613593","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-12",-13,6,3,-8,-2,9
"613594","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-13",-12,5,4,-8,-6,8
"613595","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-14",-13,4,1,-10,-7,9
"613596","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-15",-12,5,0,-9,-8,9
"613597","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-16",-13,3,1,-10,-8,10
"613598","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-17",-16,1,-3,-13,-6,10
"613599","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-18",-15,5,2,-10,3,9
"613600","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-19",-15,4,3,-9,-1,9
"613601","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-20",-15,1,1,-11,-4,9
"613602","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-21",-15,2,-1,-11,-8,10
"613603","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-22",-20,-2,-4,-12,-11,11
"613604","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-23",-20,-1,-1,-8,-8,11
"613605","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-24",-21,0,-5,-9,-6,11
"613606","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-25",-21,0,-5,-9,0,10
"613607","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-26",-23,-2,-4,-7,-2,11
"613608","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-27",-15,5,7,-1,-4,9
"613609","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-28",-16,6,3,-2,-7,10
"613610","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-29",-17,5,0,-4,-8,10
"613611","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-09-30",-18,3,-3,-4,-8,9
"613612","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-01",-19,2,-10,-6,-5,8
"613613","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-02",-15,8,-6,-4,-1,7
"613614","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-03",-14,8,-3,-2,-1,7
"613615","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-04",-11,11,3,0,-4,7
"613616","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-05",-13,8,-3,-1,-8,7
"613617","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-06",-14,7,-4,-1,-9,7
"613618","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-07",-12,8,-2,-1,-6,7
"613619","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-08",-10,13,-3,1,-2,8
"613620","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-09",-9,15,0,1,3,7
"613621","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-10",-12,10,-1,-1,3,8
"613622","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-11",-9,12,4,1,0,8
"613623","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-12",-10,12,-2,1,-5,9
"613624","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-13",-10,13,-2,1,-5,9
"613625","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-14",-10,11,-1,0,-4,9
"613626","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-15",-8,15,-3,2,-1,9
"613627","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-16",-6,19,2,5,6,7
"613628","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-17",-10,13,1,3,4,8
"613629","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-18",-8,13,5,4,1,8
"613630","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-19",-10,13,-1,3,-3,9
"613631","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-20",-10,12,-2,2,-5,8
"613632","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-21",-8,12,0,2,-2,8
"613633","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-22",-18,2,-10,-7,-3,10
"613634","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-23",-27,-8,-19,-20,-6,12
"613635","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-24",-9,17,10,2,2,9
"613636","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-25",0,26,23,10,-3,6
"613637","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-26",-9,17,15,-3,-30,12
"613638","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-27",-6,18,7,6,-4,7
"613639","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-28",-8,13,4,3,-2,8
"613640","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-29",-8,13,-1,1,1,8
"613641","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-30",-8,16,1,6,5,8
"613642","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-10-31",-12,9,0,1,5,8
"613643","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-01",-9,11,4,3,3,8
"613644","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-02",-6,15,2,5,-1,8
"613645","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-03",-5,15,1,5,-2,8
"613646","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-04",-6,13,2,4,0,9
"613647","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-05",-6,15,1,5,3,9
"613648","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-06",-5,17,5,7,8,7
"613649","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-07",-6,15,5,7,8,8
"613650","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-08",-4,17,9,8,5,8
"613651","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-09",-8,14,4,5,0,9
"613652","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-10",-5,16,5,8,0,8
"613653","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-11",-4,15,6,6,1,8
"613654","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-12",-5,17,4,7,2,9
"613655","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-13",-2,21,9,11,9,7
"613656","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-14",-5,17,10,9,9,7
"613657","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-15",-2,18,13,10,6,7
"613658","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-16",-6,15,7,6,1,8
"613659","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-17",-7,14,6,6,0,8
"613660","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-18",-7,12,6,4,2,8
"613661","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-19",-5,16,4,6,5,8
"613662","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-20",-6,16,6,8,8,8
"613663","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-21",-8,14,7,6,9,8
"613664","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-22",-3,18,11,8,7,7
"613665","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-23",-6,16,7,5,2,9
"613666","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-24",-6,15,6,6,1,9
"613667","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-25",-6,14,7,5,3,9
"613668","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-26",-6,16,4,5,6,9
"613669","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-27",-6,18,7,7,11,8
"613670","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-28",-7,16,7,7,11,8
"613671","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-29",-3,18,12,8,8,8
"613672","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-11-30",-6,15,7,5,4,9
"613673","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-01",-5,17,7,8,3,8
"613674","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-02",-5,17,8,6,6,8
"613675","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-03",-3,20,7,8,8,8
"613676","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-04",-3,21,8,10,14,7
"613677","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-05",-4,19,10,10,13,7
"613678","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-06",-1,21,14,11,10,7
"613679","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-07",-3,20,10,9,5,8
"613680","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-08",-3,20,10,10,6,8
"613681","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-09",-5,18,13,10,5,8
"613682","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-10",-1,24,14,13,7,9
"613683","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-11",-1,28,15,18,15,8
"613684","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-12",0,26,18,18,14,9
"613685","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-13",1,27,24,17,10,8
"613686","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-14",-1,25,17,16,5,9
"613687","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-15",3,31,22,30,3,7
"613688","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-16",-2,24,42,16,-37,13
"613689","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-17",-2,27,21,14,-2,10
"613690","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-18",-4,25,19,20,11,7
"613691","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-19",-5,23,18,18,11,7
"613692","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-20",0,26,24,18,9,8
"613693","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-21",-2,24,17,15,5,9
"613694","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-22",-4,21,15,13,3,9
"613695","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-23",-4,21,16,12,6,9
"613696","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-24",-3,24,15,12,9,9
"613697","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-25",-2,27,18,16,15,8
"613698","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-26",-5,23,19,15,14,8
"613699","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-27",-2,24,24,15,10,8
"613700","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-28",-4,23,17,13,5,9
"613701","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-29",-5,21,15,13,4,9
"613702","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-30",-3,22,17,13,7,9
"613703","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2020-12-31",1,30,21,15,8,9
"613704","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-01",0,29,26,18,17,6
"613705","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-02",-6,22,17,14,16,8
"613706","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-03",-2,25,22,15,14,8
"613707","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-04",-4,24,15,14,8,9
"613708","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-05",-4,22,14,13,7,8
"613709","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-06",0,25,16,13,9,8
"613710","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-07",2,29,15,17,11,8
"613711","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-08",3,32,20,20,16,7
"613712","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-09",0,26,19,18,16,7
"613713","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-10",5,28,23,21,14,6
"613714","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-11",2,27,19,16,8,7
"613715","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-12",1,25,17,15,6,7
"613716","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-13",-3,20,13,11,5,6
"613717","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-14",-2,20,8,9,2,5
"613718","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-15",-4,18,8,8,2,4
"613719","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-16",-8,12,5,4,1,5
"613720","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-17",-3,16,9,9,2,5
"613721","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-18",-4,17,8,6,-1,7
"613722","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-19",-4,16,7,6,-1,7
"613723","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-20",-5,15,7,4,1,7
"613724","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-21",-2,20,8,7,5,7
"613725","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-22",-1,22,14,10,8,6
"613726","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-23",-3,20,13,11,10,7
"613727","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-24",0,20,17,12,8,6
"613728","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-25",0,22,15,11,4,7
"613729","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-26",-2,20,14,10,2,7
"613730","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-27",-4,18,14,7,1,9
"613731","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-28",1,23,14,12,7,8
"613732","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-29",4,29,17,17,12,6
"613733","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-30",2,27,16,16,12,6
"613734","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-01-31",5,29,17,17,11,5
"613735","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-01",4,29,14,14,5,6
"613736","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-02",5,30,14,16,5,6
"613737","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-03",2,24,11,10,5,6
"613738","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-04",3,26,11,13,7,6
"613739","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-05",5,31,16,16,9,5
"613740","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-06",2,26,16,17,12,5
"613741","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-07",4,25,20,17,10,4
"613742","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-08",4,30,15,17,5,5
"613743","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-09",7,32,15,20,5,5
"613744","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-10",7,31,16,19,7,5
"613745","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-11",8,34,13,19,10,5
"613746","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-12",10,39,16,23,14,4
"613747","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-13",9,36,19,21,14,4
"613748","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-14",18,38,34,23,13,3
"613749","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-15",9,37,14,20,8,5
"613750","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-16",9,36,13,20,4,5
"613751","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-17",10,37,15,23,9,5
"613752","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-18",12,40,14,30,11,4
"613753","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-19",12,43,22,34,14,3
"613754","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-20",12,43,30,29,6,4
"613755","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-21",9,36,45,24,-32,8
"613756","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-22",9,39,16,28,9,3
"613757","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-23",9,38,14,24,8,5
"613758","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-24",10,37,15,24,11,5
"613759","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-25",12,40,12,23,14,5
"613760","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-26",13,43,18,27,17,4
"613761","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-27",11,39,18,25,18,4
"613762","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-02-28",12,40,22,24,15,4
"613763","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-03-01",12,41,14,23,11,5
"613764","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-03-02",13,41,12,24,10,5
"613765","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-03-03",14,41,15,25,11,5
"613766","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-03-04",15,44,14,27,14,5
"613767","BD","Bangladesh","","","","",NA,"ChIJp4vhgO2qrTARa_zhxOAoLQ8","2021-03-05",18,47,21,32,16,4
